19,2,17,19,1,15,15,22,18
19,3,17,19,1,15,15,22,18
19,4,17,19,1,15,14,22,18
19,4,17,19,1,15,14,22,18
19,5,17,19,1,15,14,22,18
19,6,17,19,1,15,14,22,18
19,6,17,19,1,15,14,22,18
19,7,17,19,1,15,14,21,18
19,7,17,19,1,15,14,21,17
19,8,17,19,1,15,14,21,17
19,8,18,19,1,15,14,21,17
19,9,18,19,0,15,14,21,17
19,10,18,19,0,15,14,21,17
19,11,18,19,0,15,14,21,17
19,12,18,19,0,15,14,21,17
19,13,18,19,0,15,14,21,17
19,14,18,19,0,15,14,21,17
19,15,18,19,0,15,14,21,17
19,16,18,19,0,15,14,21,17
19,17,18,19,0,15,13,21,17
19,18,18,19,0,14,13,21,17
19,19,19,20,0,14,13,21,17
19,20,19,20,0,14,13,21,17
19,21,19,20,0,14,13,20,17
19,22,19,20,0,14,13,20,16
19,23,19,20,0,14,13,20,16
19,0,19,20,0,14,13,20,16
19,0,19,20,0,14,13,20,16
19,1,19,20,0,14,13,20,16
19,2,19,20,0,14,13,20,16
